Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,School,Holiday,Exam,Means,Covariances,Weights
True,True,True,True,False,False,False,True,False,False,"[184.63527010571207, 610.7540702680088, 67.00144557522546, 491.088001101966, 291.89754339145486]","[2154.6644711192453, 5179.480059427699, 1453.9559440174314, 5301.840448149856, 2779.9849335778526]","[0.25715960131683474, 0.14082270892268703, 0.32892730225605576, 0.08389220742570407, 0.18919818007871836]"
False,False,False,False,True,False,False,True,False,False,"[437.65046575600775, 156.43391110423693, 260.51769437789943, 594.425636932038, 55.68814614485165]","[7381.803804544192, 1931.3076621046357, 2378.463708840819, 9181.60174188934, 1082.3574517567029]","[0.08279951301637836, 0.26603104837134517, 0.2227888425362359, 0.13279293463290487, 0.2955876614431358]"
False,False,False,False,False,True,True,True,False,False,"[51.252841218353296, 646.2351736705152, 173.06484823919726]","[875.3004826250344, 64797.964336078745, 4813.293793484658]","[0.4018114655854729, 0.2592853064399618, 0.3389032279745654]"
True,True,True,True,False,False,False,False,True,False,"[205.40268332677562, 574.9097875498896, 66.72119952377956, 317.0318841681366, 775.8294158103548]","[2499.683200165945, 4260.511129452147, 1509.4320305755296, 3955.905593045281, 6891.473749396677]","[0.31338927586879, 0.19670108450301624, 0.3203225595879445, 0.1411191385981686, 0.02846794144208059]"
False,False,False,False,True,False,False,False,True,False,"[295.00501040864464, 61.362146166993064, 766.2055277171132, 188.9219196669054, 556.4035423419451]","[4407.391802190451, 1258.1151381748994, 17377.274640144362, 2649.1939863788416, 4884.493516865324]","[0.16415268251205967, 0.3557643800047494, 0.04461769547060637, 0.28816915922232594, 0.14729608279025855]"
False,False,False,False,False,True,True,False,True,False,"[189.45443580672548, 51.57319717622746, 715.9538205762234]","[6930.561065717533, 982.3938456441616, 43889.95086672365]","[0.35554596867981264, 0.44457943094834546, 0.19987460037184202]"
True,True,True,True,True,True,True,False,False,True,"[62.81700016149719, 569.0341486234524, 305.26089266265853, 807.7533784153788, 191.8197059596169]","[1295.1733190451914, 5345.760368966838, 3871.245279393256, 12309.819585138113, 2387.753905379976]","[0.3240259946104039, 0.1792601877057718, 0.17470300103234437, 0.03569919909482026, 0.2863116175566598]"
True,False,False,False,False,False,False,True,False,False,"[124.91895940929747, 518.3417767461758, 22.53889471840058, 273.7174942272232, 632.2907620503881]","[3227.4547049703037, 7058.476115540275, 122.37433756301706, 5772.910833533518, 18145.684527299294]","[0.46233325804942954, 0.13577955460678143, 0.18041023932852282, 0.17501377347296246, 0.04646317454230371]"
False,False,False,False,False,False,True,True,False,False,"[17.835006470729603, 159.24617545093238, 416.5061124662898, 77.98124567190312, 233.9533271956084]","[44.19885487299789, 1047.4395613484705, 13615.860305536891, 867.1754836362179, 1655.0630081924678]","[0.14433643481796973, 0.3249629563455148, 0.05945732659016458, 0.3483719251299704, 0.12287135711638053]"
False,True,True,True,True,True,False,True,False,False,"[212.91645122104538, 554.9586595118361, 20.55201217335781, 363.13727961679325, 103.90346396008282]","[2556.3885233611, 7077.339420102327, 80.04441189225496, 5605.546632236628, 2073.688902138812]","[0.20114857480099776, 0.11135007724026531, 0.16379028030053142, 0.09457434610593898, 0.4291367215522666]"
False,False,False,False,True,False,False,False,True,False,"[190.26335656870984, 532.1587794934411, 19.819863666230983, 312.47768242559584, 76.67488024330453]","[1956.4135983831216, 6853.806739899301, 65.93389673010788, 4495.47800475917, 1123.3182561363087]","[0.3309203345502683, 0.09706006877892433, 0.17275855753143077, 0.056451111945546174, 0.3428099271938304]"
True,True,True,True,False,True,True,False,True,False,"[184.7074934153114, 523.6935735172477, 21.800527997370978, 84.32913672558178, 274.5052660191665]","[1817.3167560813863, 3523.7231021963007, 94.29275340956252, 1212.794216493816, 5451.073639957605]","[0.2987480426229892, 0.06814833850590918, 0.18069455413376598, 0.3418581396578618, 0.11055092507947391]"
True,True,False,False,False,False,False,False,False,True,"[124.24518612352836, 465.47922381434034, 26.594012486251888, 584.05402851935, 251.70772613816152]","[2957.562122372833, 8995.79191568671, 214.66350750547957, 9563.70152310469, 3962.953795798763]","[0.45916722026116075, 0.09354233313031807, 0.23803678054191493, 0.08173732336291423, 0.12751634270369194]"
False,False,True,True,True,True,True,False,False,True,"[176.74506136252973, 79.04021410623602, 540.1206013527476, 18.132947188562785, 304.03466936183037]","[1489.9665699536306, 1200.4349133193, 5277.71467794155, 45.915745012980345, 6250.476178870918]","[0.2782412833485928, 0.3812782481807469, 0.08530348547249379, 0.15874258327547006, 0.09643439972269635]"
